stock,decile,rv_lo,rv_hi,model,n_days,mse,rel_mse_to_HAR
AMZN,2,9.257314259102168e-05,0.0001128131688112,LogHAR,44,4.858456011777882e-09,0.6358228693977539
AMZN,2,9.257314259102168e-05,0.0001128131688112,ElasticNet,44,6.680460776128425e-09,0.8742674070280976
AMZN,2,9.257314259102168e-05,0.0001128131688112,RF,44,6.024130808289234e-09,0.7883739457285394
AMZN,2,9.257314259102168e-05,0.0001128131688112,NN_2_e10,44,4.556492464845447e-09,0.5963051031776485
AMZN,3,0.0001133485576032,0.0001308083471146,HAR-X,45,5.07029996102083e-09,0.9087132293725072
AMZN,3,0.0001133485576032,0.0001308083471146,LogHAR,45,4.2393024640064925e-09,0.7597795518943147
AMZN,3,0.0001133485576032,0.0001308083471146,ElasticNet,45,5.573688991830734e-09,0.9989320084062168
AMZN,3,0.0001133485576032,0.0001308083471146,RF,45,4.253510598046955e-09,0.7623259731053916
AMZN,3,0.0001133485576032,0.0001308083471146,NN_2_e10,45,3.181415084068292e-09,0.5701820399667332
AMZN,4,0.000131918587129,0.0001516613454183,HAR-X,44,5.568799646973834e-09,0.9581085473762068
AMZN,4,0.000131918587129,0.0001516613454183,LogHAR,44,4.700498729688359e-09,0.8087179096652783
AMZN,4,0.000131918587129,0.0001516613454183,ElasticNet,44,4.668529252636209e-09,0.8032175808402939
AMZN,4,0.000131918587129,0.0001516613454183,RF,44,5.579287071321388e-09,0.9599129022721156
AMZN,4,0.000131918587129,0.0001516613454183,NN_2_e10,44,2.7541495779221995e-09,0.47384973758102056
AMZN,5,0.0001518482276356,0.0001697589075585,HAR-X,45,4.028111517575191e-09,1.4357315767757637
AMZN,5,0.0001518482276356,0.0001697589075585,LogHAR,45,2.2642355771776546e-09,0.8070368710571263
AMZN,5,0.0001518482276356,0.0001697589075585,ElasticNet,45,2.9567541194056653e-09,1.053869843342362
AMZN,5,0.0001518482276356,0.0001697589075585,RF,45,2.3946470420062292e-09,0.8535191636180526
AMZN,5,0.0001518482276356,0.0001697589075585,NN_2_e10,45,1.2592184615040241e-09,0.44882066927695885
AMZN,6,0.0001700746542521,0.0001935270954576,HAR-X,44,5.7847521288741055e-09,0.951938272430695
AMZN,6,0.0001700746542521,0.0001935270954576,LogHAR,44,4.730807364543552e-09,0.7785012200138137
AMZN,6,0.0001700746542521,0.0001935270954576,ElasticNet,44,5.105417491410214e-09,0.8401470276577622
AMZN,6,0.0001700746542521,0.0001935270954576,RF,44,6.889444715132324e-09,1.133726381705192
AMZN,6,0.0001700746542521,0.0001935270954576,NN_2_e10,44,2.15931146250423e-09,0.35533609348550343
AMZN,7,0.0001939261456119,0.0002272064743335,HAR-X,44,7.824513590258775e-09,1.7975903427729483
AMZN,7,0.0001939261456119,0.0002272064743335,LogHAR,44,6.789742208807394e-09,1.5598637389632783
AMZN,7,0.0001939261456119,0.0002272064743335,ElasticNet,44,3.9380191274524434e-09,0.9047137654635408
AMZN,7,0.0001939261456119,0.0002272064743335,RF,44,7.484051042189924e-09,1.7193730604556974
AMZN,7,0.0001939261456119,0.0002272064743335,NN_2_e10,44,2.9574543000229134e-09,0.6794404824770324
AMZN,8,0.0002286005792976,0.0002669475096578,HAR-X,45,1.10761577230401e-08,1.3895584817942088
AMZN,8,0.0002286005792976,0.0002669475096578,LogHAR,45,6.441945265880369e-09,0.8081737284074343
AMZN,8,0.0002286005792976,0.0002669475096578,ElasticNet,45,6.282158070608634e-09,0.7881276385968782
AMZN,8,0.0002286005792976,0.0002669475096578,RF,45,1.0810570639415883e-08,1.3562392754472874
AMZN,8,0.0002286005792976,0.0002669475096578,NN_2_e10,45,7.166039534671883e-09,0.8990149170196942
AMZN,9,0.0002673492047986,0.0003292237480541,HAR-X,44,1.5936112954724737e-08,1.96667622871929
AMZN,9,0.0002673492047986,0.0003292237480541,LogHAR,44,1.1183055059284552e-08,1.3801011960719884
AMZN,9,0.0002673492047986,0.0003292237480541,ElasticNet,44,8.819311574572102e-09,1.0883915341625061
AMZN,9,0.0002673492047986,0.0003292237480541,RF,44,1.3895634968187478e-08,1.7148607726699487
AMZN,9,0.0002673492047986,0.0003292237480541,NN_2_e10,44,1.3954928265153144e-08,1.7221781604166386
AMZN,10,0.0003295235205972,0.0014147928023686,HAR-X,45,8.318404693171847e-08,1.0064513013719494
AMZN,10,0.0003295235205972,0.0014147928023686,LogHAR,45,7.721998156675478e-08,0.9342915355341288
AMZN,10,0.0003295235205972,0.0014147928023686,ElasticNet,45,8.522147572881214e-08,1.0311023365153924
AMZN,10,0.0003295235205972,0.0014147928023686,RF,45,8.72342518667546e-08,1.055455096907844
AMZN,10,0.0003295235205972,0.0014147928023686,NN_2_e10,45,9.006738172909698e-08,1.089733391149176
