date,RV,RQ
2016-04-07,9.648487300430514e-05,9.56362278043258e-09
2016-04-08,0.00010905677360201824,1.2796369234747925e-08
2016-04-11,0.00014481621126266524,5.701209589488731e-08
2016-04-12,0.0001124966448562849,2.410270380471706e-08
2016-04-13,9.271564492588468e-05,1.1322120957652777e-08
2016-04-14,6.010960699825034e-05,5.433941119513552e-09
2016-04-15,0.000136756333026081,5.159664661623639e-08
2016-04-18,0.00014780387623343624,6.252194801603323e-08
2016-04-19,0.0001349843324218147,3.3210229829140754e-08
2016-04-20,0.00010120608861323313,1.7635821553094382e-08
2016-04-21,8.670391926534252e-05,2.4566074420980368e-08
2016-04-22,0.00018777239301765144,8.72343470727182e-08
2016-04-25,7.129788250741052e-05,1.3831586551513958e-08
2016-04-26,0.00010652486410108123,1.320952900054483e-08
2016-04-27,0.0002695688854874946,9.549750178906405e-08
2016-04-28,0.0002812101385920091,8.84944696135117e-08
2016-04-29,0.00021355673676784712,3.964781481391916e-08
2016-05-02,0.00022462341314814232,7.6542250173047e-08
2016-05-03,0.00016091879792662017,2.911068906093945e-08
2016-05-04,0.00011132401246039619,2.402128690591454e-08
2016-05-05,0.00011117423714305117,1.5509743353255394e-08
2016-05-06,0.00012701309377168102,1.5967926505065607e-08
2016-05-09,8.827896759958124e-05,1.3244705497797892e-08
2016-05-10,0.00012101018250742563,6.436303209054126e-08
2016-05-11,0.0001224913558393088,2.054730883127832e-08
2016-05-12,0.00022109395124782558,5.958465406328726e-08
2016-05-13,0.00020101209604250837,9.205741812295476e-08
2016-05-16,0.00014229677143102627,2.942852892625015e-08
2016-05-17,0.0001230698576778715,2.8233522125673438e-08
2016-05-18,0.00014563563977761988,2.5608451961452796e-08
2016-05-19,9.264055095026833e-05,1.167418879716022e-08
2016-05-20,4.16977189471857e-05,1.8707589770052317e-09
2016-05-23,9.930240322680782e-05,3.082513104470728e-08
2016-05-24,3.55511594572431e-05,2.0780978174974787e-09
2016-05-25,7.806132036836364e-05,9.032933715961409e-09
2016-05-26,0.00014162680325747922,4.987064219876685e-08
2016-05-27,4.5621899070447664e-05,2.80783002334452e-09
2016-05-31,5.99313777900156e-05,4.366518116278827e-09
2016-06-01,6.571257780004048e-05,6.066129293048751e-09
2016-06-02,7.529185963468328e-05,5.916291438449914e-09
2016-06-03,4.554963362118939e-05,2.4132080541248275e-09
2016-06-06,8.926768408111644e-05,7.550339715767086e-08
2016-06-07,4.879648936760924e-05,2.456682244936251e-09
2016-06-08,4.4438917158016374e-05,2.5841426425065606e-09
2016-06-09,7.382464333999411e-05,1.911203786956086e-08
2016-06-10,4.4517483096062686e-05,2.0384045979117537e-09
2016-06-13,0.00015503568841284296,1.014968979387213e-07
2016-06-14,0.00010203422220999944,1.1767335736460758e-08
2016-06-15,7.45711522688782e-05,8.433570811896932e-09
2016-06-16,7.955379085550665e-05,6.695495450537379e-09
2016-06-17,8.360238628718447e-05,9.393846976188081e-09
2016-06-20,6.0400328187250465e-05,4.448451890185816e-09
2016-06-21,0.00012554289393661592,8.007738573116872e-08
2016-06-22,8.384131051329566e-05,7.906144499977869e-09
2016-06-23,6.766707744849784e-05,8.04923197694899e-09
2016-06-24,0.00022089637386086143,1.2794733968949783e-07
2016-06-27,0.00016076019493635815,5.4342286590567276e-08
2016-06-28,6.722068060233997e-05,4.1182134146209064e-09
2016-06-29,7.379471767763305e-05,6.304439279457362e-09
2016-06-30,7.30839128737921e-05,1.0258891631995437e-08
2016-07-01,3.11302494141115e-05,9.746445814280216e-10
2016-07-05,5.9796866181719274e-05,4.70096742753217e-09
2016-07-06,9.527718874655876e-05,2.3479765354812153e-08
2016-07-07,5.49953721332119e-05,2.7107987865014805e-09
2016-07-08,5.5185079190243976e-05,2.4388350971609516e-08
2016-07-11,2.8425870474725822e-05,1.4539727724133704e-09
2016-07-12,2.7118669363990163e-05,1.9407391176128795e-09
2016-07-13,3.692215424601977e-05,2.0417374970535893e-09
2016-07-14,4.496324462801991e-05,1.9824008678692527e-09
2016-07-15,2.6338945919749397e-05,1.624458247919533e-09
2016-07-18,4.079022636360859e-05,3.801541711059665e-09
2016-07-19,2.890516680698244e-05,1.5475422899560906e-09
2016-07-20,3.456939316754293e-05,2.0408048968916647e-09
