date,RV,RQ
2016-04-20,0.00010180184290369452,2.1276294969886546e-08
2016-04-21,0.00016365208721881257,1.6827057415005456e-07
2016-04-22,7.839314443023942e-05,1.0024993989033537e-08
2016-04-25,7.794562111153258e-05,1.0847179855808067e-08
2016-04-26,5.395701695197928e-05,5.721788659053707e-09
2016-04-27,0.00011174129012875856,2.161331730283644e-08
2016-04-28,0.0001300979434818022,1.8967059705794663e-08
2016-04-29,0.00016939081712939822,4.2231923144615956e-08
2016-05-02,9.027009131524825e-05,2.237742660168566e-08
2016-05-03,8.293357087511358e-05,9.198637759317892e-09
2016-05-04,0.00011254156176408408,2.9403930591309324e-08
2016-05-05,0.00010312847410599241,1.449408573980766e-08
2016-05-06,0.00013756917587943383,3.4346921335358245e-08
2016-05-09,0.00011133733444578942,1.964380623861609e-08
2016-05-10,6.15115154068818e-05,1.0792934625903214e-08
2016-05-11,8.026537614835619e-05,6.582062586267719e-09
2016-05-12,0.00011621726793791739,1.6289012271434562e-08
2016-05-13,0.0001287355250174721,3.3090392817133624e-08
2016-05-16,9.065982047258846e-05,1.621623430752309e-08
2016-05-17,9.911770749434544e-05,2.2395591403811062e-08
2016-05-18,0.0002457986937650561,1.095870315223824e-07
2016-05-19,0.000267583910787561,1.4871384958673387e-07
2016-05-20,8.94603795334044e-05,1.5152983086559115e-08
2016-05-23,0.00012366080093150297,7.219773432620915e-08
2016-05-24,5.9167393646839766e-05,6.364228421528902e-09
2016-05-25,9.331485340196427e-05,3.062711546790876e-08
2016-05-26,6.316896805394121e-05,6.9504983385003335e-09
2016-05-27,5.7822577022849196e-05,5.875362422162761e-09
2016-05-31,5.965427547894178e-05,5.059666807189602e-09
2016-06-01,0.00010181569606809417,2.6155580379774797e-08
2016-06-02,3.929570563608622e-05,2.2401463292680593e-09
2016-06-03,0.00016786512469468996,3.866058718074125e-08
2016-06-06,8.643316616150128e-05,1.058122941663925e-08
2016-06-07,4.6054926098913265e-05,2.9245224362142576e-09
2016-06-08,4.2815642038027184e-05,2.9382491152888847e-09
2016-06-09,4.986906710014002e-05,3.1766956051262346e-09
2016-06-10,5.2371828858571375e-05,4.479907849254198e-09
2016-06-13,0.0001405861516285835,4.9276896421388785e-08
2016-06-14,0.00013432386754912747,1.7367563335399295e-08
2016-06-15,0.0001404094913503365,3.186909098563233e-08
2016-06-16,0.0001383345042171698,1.6860946512596878e-08
2016-06-17,7.10145998784597e-05,5.738442893850335e-09
2016-06-20,9.53304475750625e-05,1.4496547572994782e-08
2016-06-21,0.00011399757723576888,1.6553620318429392e-08
2016-06-22,7.842676822672927e-05,7.913500461535268e-09
2016-06-23,7.788493067067624e-05,1.2185594849032528e-08
2016-06-24,0.0004660254540945924,9.317133098607808e-07
2016-06-27,0.00022451679226091043,7.983890593806097e-08
2016-06-28,0.00017382705681356128,6.529790294857021e-08
2016-06-29,0.0001114829284065135,1.742551844316512e-08
2016-06-30,0.00015766531190713676,4.00096064874759e-08
2016-07-01,8.478497954763125e-05,1.0965296121011815e-08
2016-07-05,0.00012599799500760778,2.793439572647825e-08
2016-07-06,0.00012946422951250991,1.793923916347614e-08
2016-07-07,0.00011245433961261494,1.3643186157133097e-08
2016-07-08,6.541629685143788e-05,6.413492541143206e-09
2016-07-11,0.0001052518793210544,1.963897686193104e-08
2016-07-12,6.046627798024889e-05,4.946196149447143e-09
2016-07-13,6.0305321916762276e-05,4.192813172707646e-09
2016-07-14,0.00017173684671268656,5.993049433550124e-08
2016-07-15,8.218351636789088e-05,3.46466151864818e-08
2016-07-18,4.023503354566865e-05,8.0800295337979e-09
2016-07-19,3.866611406479995e-05,2.4186655071658157e-09
2016-07-20,4.95006528898994e-05,6.757948013141395e-09
2016-07-21,4.661486692052506e-05,3.294959190190187e-09
2016-07-22,2.1960538194302888e-05,5.957914106818248e-10
2016-07-25,2.4480998070873885e-05,6.893372491134072e-10
2016-07-26,5.117264848420429e-05,5.667473489878947e-09
2016-07-27,7.505420559400682e-05,1.2797052389372336e-08
2016-07-28,4.1526910164431705e-05,2.7047090147207803e-09
2016-07-29,4.304181959459462e-05,2.45741200874319e-09
2016-08-01,5.575833314483826e-05,3.2079739106761865e-09
2016-08-02,0.00010392312543548763,1.67620502579263e-08
2016-08-03,4.32141626958448e-05,2.6246357336582823e-09
2016-08-04,5.501526056693655e-05,6.2451176608893324e-09
2016-08-05,4.915077181501097e-05,4.648553971476374e-09
2016-08-08,4.943313052300824e-05,5.5260879109706525e-09
2016-08-09,3.833304113602235e-05,2.2513671124217375e-09
2016-08-10,3.9497024341201145e-05,2.065596955205725e-09
2016-08-11,5.870507943267484e-05,1.0542315466305963e-08
2016-08-12,3.21723519995893e-05,1.4738657905400903e-09
2016-08-15,1.9162710956186918e-05,4.2073234737081214e-10
