date,M1W,d_log_dvol,EA
2016-08-31,0.006776567386627352,-0.15364813747403616,0
2016-09-01,0.015195471842755826,0.10693088783405358,0
2016-09-02,0.014640784394355233,0.20174927423385824,0
2016-09-06,0.0043595667967983864,0.6299772276465774,0
2016-09-07,0.022565059992089687,-0.4453243658311017,0
2016-09-08,0.02186238527845763,-0.26935506305923695,0
2016-09-09,0.019211056147599326,0.7631520654275903,0
2016-09-12,-0.013587875636908997,-0.27922924509427105,0
2016-09-13,-0.0011529170723467708,0.024413697267188894,0
2016-09-14,-0.03793148371488275,-0.24323595366541895,0
2016-09-15,-0.030476947143391442,0.2529709675985643,0
2016-09-16,-0.01869117051072733,0.37334443742353685,0
2016-09-19,0.023915878621207032,-0.716345408605644,0
2016-09-20,0.004771427094544034,-0.15872128685239772,0
2016-09-21,0.027225289175413447,0.23754310434514636,0
2016-09-22,0.03714639099086314,0.589126515094037,0
2016-09-23,0.044399786168109134,-0.5760940304695055,0
2016-09-26,0.03433813758089155,0.11414455782352206,0
2016-09-27,0.030440115455191652,0.35387988688153627,0
2016-09-28,0.044852814222748894,0.23580276369978748,0
2016-09-29,0.04807845900244789,0.14896902881616825,0
2016-09-30,0.029949469615689228,-0.25595372634970204,0
2016-10-03,0.0382274178145976,-0.3645616354839625,0
2016-10-04,0.046162530998544504,0.06555702375382566,0
2016-10-05,0.02181375879113956,0.15811025502567233,0
2016-10-06,0.018720736082872946,-0.23950858693973842,0
2016-10-07,0.015203501082235782,-0.09385423973207452,0
2016-10-10,0.0026243603276459027,-0.3110950851422558,0
2016-10-11,0.005581134953152933,0.6674556600079171,0
2016-10-12,-0.00406001686816726,-0.458957082249416,0
2016-10-13,-0.012105762175024903,0.2760975621676067,0
2016-10-14,-0.014721108405249872,-0.011511338897204126,0
2016-10-17,-0.019731150222420446,0.11132701903788345,0
2016-10-18,-0.03464753589705083,-0.2971217761405569,0
2016-10-19,-0.015991022962901003,-0.21779575661802042,0
2016-10-20,-0.02000211974202415,0.4312101322690296,0
2016-10-21,-0.023174594877807042,-0.13681010702953245,0
2016-10-24,-0.004872116824000461,0.41765570962905585,0
2016-10-25,0.030360794395688284,-0.18076136388234332,0
2016-10-26,0.021249075196597467,0.16106807907013376,0
2016-10-27,0.00599899377550317,0.34934894499271607,1
2016-10-28,0.01031190085266065,0.5396161474991068,0
2016-10-31,-0.053673864918263536,-0.6276801004641221,0
2016-11-01,-0.05898515502101587,0.01881685805353328,0
2016-11-02,-0.061732754726067984,-0.15232707499177423,0
2016-11-03,-0.0718102156575795,-0.18196128144299095,0
2016-11-04,-0.06561384261564474,0.2626948680822636,0
2016-11-07,-0.027533541918117077,0.19538288588798736,0
2016-11-08,-0.006425663720837527,-0.5884510201718243,0
2016-11-09,0.0033057881344995543,0.8746213576043935,0
2016-11-10,0.008169257389410767,0.4467023095859197,0
2016-11-11,-0.03233782969949894,-0.6488530213152295,0
2016-11-14,-0.021578756068486804,0.04736700539899985,0
2016-11-15,-0.08802412683082572,-0.0722691702443008,0
