feature,edge_idx,z_std,ale_centred
RVD,64,-0.12129337170428038,-2.457904597740893e-05
RVD,65,-0.11660811366483172,-2.3251768510835222e-05
RVD,66,-0.11207773530200062,-1.4318274208456432e-05
RVD,67,-0.1011158862531209,-1.3362712179359985e-05
RVD,68,-0.09438835291088153,-1.1758836628332705e-05
RVD,69,-0.0891935433324199,-1.0263970883505027e-05
RVD,70,-0.07929486544920462,-8.553455836272894e-06
RVD,71,-0.07162471338568714,-8.031118199757543e-06
RVD,72,-0.06270046236582334,-3.416589101483953e-06
RVD,73,-0.05497234389209407,-7.2218293815225505e-06
RVD,74,-0.0449875643892761,-7.830868483107619e-06
RVD,75,-0.03650614333466376,-6.729325713814511e-06
RVD,76,-0.023079437873360243,-5.940973226462169e-06
RVD,77,-0.010535477304802735,-5.768022179535162e-06
RVD,78,0.0008225614062791168,-4.756457105446268e-06
RVD,79,0.010594968775291895,-1.5223208132548305e-06
RVD,80,0.029768843125545744,-4.1252560221037777e-07
RVD,81,0.043395707994838356,2.498151537824046e-06
RVD,82,0.06467520536239728,1.2128281316493581e-05
RVD,83,0.08563610947433066,1.771987839984128e-05
RVD,84,0.11556702893377375,1.6828058346302706e-05
RVD,85,0.13055352063834963,1.9519468439156782e-05
RVD,86,0.15100438134334457,2.8619540770573576e-05
RVD,87,0.1782273394949781,2.816283374186761e-05
RVD,88,0.21641515783196172,3.411198865048404e-05
RVD,89,0.25733564486435656,4.286768214457476e-05
RVD,90,0.2898469857452247,4.540227595957897e-05
RVD,91,0.341479288769967,6.924465608671075e-05
RVD,92,0.3897452126634527,7.733998598085896e-05
RVD,93,0.45926982931223354,8.870857533865746e-05
RVD,94,0.537338908775529,9.236571124767255e-05
RVD,95,0.6624673918628438,9.37096792821255e-05
RVD,96,0.8010809530771873,0.00010339566528746534
RVD,97,1.0146940464917382,0.00010865999980422092
RVD,98,1.6120872456753976,0.00016455914713714876
RVD,99,3.0396643799141083,0.00042656041770003616
RVD,100,16.601382308277056,0.0010434432194063822
RVW,0,-0.38799906851526794,-2.5564370459538742e-05
RVW,1,-0.3640809666797733,-2.8420269946983792e-05
RVW,2,-0.35778831706614245,-2.9861795200986596e-05
RVW,3,-0.3524089509721138,-3.08172997448409e-05
RVW,4,-0.3495996764204206,-3.130938438284319e-05
RVW,5,-0.34350455074251135,-3.1145374088910274e-05
RVW,6,-0.3400952189954306,-3.0807888093146805e-05
RVW,7,-0.3361899896147322,-2.9957741049961752e-05
RVW,8,-0.3324771556843503,-2.9557774808622435e-05
RVW,9,-0.3294967255157356,-2.956152741108079e-05
RVW,10,-0.3261370004600518,-2.8504308084772154e-05
RVW,11,-0.32355133545483655,-2.8492858766016263e-05
RVW,12,-0.32048081244380777,-2.8955070398044527e-05
RVW,13,-0.3175071723910531,-2.888732199705745e-05
RVW,14,-0.31467854467571493,-2.928401532463571e-05
RVW,15,-0.31131425983190986,-2.8146508998019674e-05
RVW,16,-0.3085755911020376,-2.742422983257681e-05
RVW,17,-0.30396772261209604,-2.729756454418895e-05
RVW,18,-0.3011522708801753,-2.6428933538123535e-05
RVW,19,-0.29744116719032865,-2.671897459972518e-05
RVW,20,-0.29520422012323666,-2.668328071037964e-05
RVW,21,-0.2905290827979576,-2.659392282492438e-05
RVW,22,-0.2877814649766548,-2.6963372313159624e-05
RVW,23,-0.2840172348405237,-2.7225911087684915e-05
RVW,24,-0.2820253973109846,-2.7217874978889836e-05
RVW,25,-0.279054987849531,-2.7241173030529136e-05
RVW,26,-0.27654660386388735,-2.7397841614664382e-05
RVW,27,-0.2740663622551079,-2.692087059598906e-05
RVW,28,-0.27094394644211145,-2.6436706169195584e-05
RVW,29,-0.26836210648992065,-2.6421895890970604e-05
RVW,30,-0.26627001544145507,-2.6587439054647702e-05
RVW,31,-0.2625400668162537,-2.5797137872609367e-05
RVW,32,-0.2593907819551039,-2.5600516852809028e-05
RVW,33,-0.2565919296225667,-2.5460322889594375e-05
RVW,34,-0.2523543237903351,-2.51434340715752e-05
RVW,35,-0.24917198112674527,-2.4655162820227282e-05
RVW,36,-0.24450320002686143,-2.3436041831599112e-05
RVW,37,-0.24216098855040583,-2.3868948465460216e-05
RVW,38,-0.2386449177092142,-2.399956547386751e-05
RVW,39,-0.23578958135292824,-2.4298652458955343e-05
RVW,40,-0.2340891014739508,-2.445359035148913e-05
RVW,41,-0.22971743602755168,-2.4463164140669426e-05
RVW,42,-0.22764238615314822,-2.3493504622939677e-05
RVW,43,-0.2237225456988559,-1.9441361264601315e-05
RVW,44,-0.2217717678964538,-2.2139892938084072e-05
RVW,45,-0.21914361066688376,-2.2352626940179884e-05
RVW,46,-0.21507596136989346,-2.1654767821089583e-05
RVW,47,-0.2120447311800211,-2.1634747100057973e-05
RVW,48,-0.20838812767136825,-2.074402501561362e-05
RVW,49,-0.205369885447348,-2.1129794876299588e-05
RVW,50,-0.20228084367142649,-2.0852786628280847e-05
RVW,51,-0.19662819572077053,-2.044466937040936e-05
RVW,52,-0.18948631987357217,-1.9341983904840468e-05
RVW,53,-0.18210278992926385,-1.9455292231451497e-05
RVW,54,-0.17749304491539272,-1.924384776251989e-05
RVW,55,-0.17413623688333504,-1.844990364876696e-05
RVW,56,-0.17008153156506836,-1.683279331446294e-05
RVW,57,-0.16557356548822338,-1.2456964367635939e-05
RVW,58,-0.1604223990277798,-1.2247555690483955e-05
RVW,59,-0.15416399379559526,-1.2152272460374423e-05
RVW,60,-0.1478057953690324,-9.908147045441284e-06
