date,value
2018-01-30,-0.2727257385841124
2018-01-31,-0.2489036815873935
2018-02-01,-0.2233384863658362
2018-02-02,-0.19896347881158905
2018-02-03,-0.17576831360124268
2018-02-04,-0.1537431461640783
2018-02-05,-0.13263754271925027
2018-02-06,-0.11244254555493421
2018-02-07,-0.09314958344191282
2018-02-08,-0.07475046799574608
2018-02-09,-0.057237390201428984
2018-02-10,-0.040602917099062996
2018-02-11,-0.024839988629134113
2018-02-12,-0.010248416190646814
2018-02-13,0.0031779932210816986
2018-02-14,0.015444938088289173
2018-02-15,0.026557624789337264
2018-02-16,0.036520769808420506
2018-02-17,0.045338601737352324
2018-02-18,0.05301486307027847
2018-02-19,0.05968934338069354
2018-02-20,0.06536487547417719
2018-02-21,0.07004386817931713
2018-02-22,0.07372830737007302
2018-02-23,0.07641975680862725
2018-02-24,0.07811935880908258
2018-02-25,0.07882783472228663
2018-02-26,0.07922864238764854
2018-02-27,0.07932195191731747
2018-02-28,0.07910780291404076
2018-03-01,0.07858610448797154
2018-03-02,0.07886600594597044
2018-03-03,0.07994762608476387
2018-03-04,0.08183142396924105
2018-03-05,0.08375595722067314
2018-03-06,0.08572204265599258
2018-03-07,0.08773051472785065
2018-03-08,0.08978222587877878
2018-03-09,0.09187804690298497
2018-03-10,0.09401886731593935
2018-03-11,0.09620559573190526
2018-03-12,0.09875537361509251
2018-03-13,0.10166928315088156
2018-03-14,0.10494856107064429
2018-03-15,0.10859459917664188
2018-03-16,0.11260894493273815
2018-03-17,0.11699330212117937
2018-03-18,0.12174953156571933
2018-03-19,0.12661129546819622
2018-03-20,0.1315806572749412
2018-03-21,0.13665972609935317
2018-03-22,0.14185065761705556
2018-03-23,0.1471556549808158
2018-03-24,0.1525769697556145
2018-03-25,0.15811690287426272
2018-03-26,0.16446359116039339
2018-03-27,0.17161972829698285
2018-03-28,0.17958835151603514
2018-03-29,0.18837284288765396
2018-03-30,0.19797693075547274
2018-03-31,0.2084046913190504
2018-04-01,0.21966055036390636
2018-04-02,0.22994887315399287
2018-04-03,0.23927402629417624
2018-04-04,0.24763996759759208
2018-04-05,0.2550502477654336
2018-04-06,0.2615080118939524
2018-04-07,0.26701600080931065
2018-04-08,0.2715765522308524
2018-04-09,0.2751974432595759
2018-04-10,0.27788021068633706
2018-04-11,0.2796259931403897
2018-04-12,0.2804355315726464
2018-04-13,0.2803091695701552
2018-04-14,0.2792468535019263
2018-04-15,0.2772481324961696
2018-04-16,0.27289532733204763
2018-04-17,0.2661865905772237
2018-04-18,0.257119074886882
2018-04-19,0.24568893179524742
2018-04-20,0.2318913100822072
2018-04-21,0.21572035371433923
2018-04-22,0.19716919935947447
2018-04-23,0.1776003615603798
2018-04-24,0.15700553484452037
2018-04-25,0.13537597828566433
2018-04-26,0.11270251179402868
2018-04-27,0.08897551222003505
2018-04-28,0.06418490927001964
2018-04-29,0.038320181232165046
2018-04-30,0.011352982201260964
2018-05-01,-0.016728133332803763
2018-05-02,-0.043339726091277564
2018-05-03,-0.06849309065665077
2018-05-04,-0.09219890270525638
2018-05-05,-0.11446722353827671
2018-05-06,-0.1353075043519953
2018-05-07,-0.15433125307520212
2018-05-08,-0.17154654383187712
2018-05-09,-0.18696068319413384
2018-05-10,-0.2005802132833
2018-05-11,-0.21241091454654637
2018-05-12,-0.22245780821024413
2018-05-13,-0.2307251584110907
2018-05-14,-0.2373478798472722
2018-05-15,-0.24232878335669122
2018-05-16,-0.24566998295131523
2018-05-17,-0.24737289671441262
2018-05-18,-0.2474382474024207
2018-05-19,-0.24586606275170012
2018-05-20,-0.2426556754903072
2018-05-21,-0.23852584408196922
2018-05-22,-0.2334748157296277
2018-05-23,-0.2275004466586913
2018-05-24,-0.22060020120716814
2018-05-25,-0.21277115074947164
2018-05-26,-0.2040099724534429
2018-05-27,-0.19431294787006306
2018-05-28,-0.18326575245410007
2018-05-29,-0.1708636975173927
2018-05-30,-0.15710151933770516
2018-05-31,-0.14197337692467998
2018-06-01,-0.12547284954078516
2018-06-02,-0.10977863744058317
2018-06-03,-0.09488407963332471
2018-06-04,-0.08086211939628801
2018-06-05,-0.06770680548153352
2018-06-06,-0.05541255446609414
2018-06-07,-0.04397414838224009
2018-06-08,-0.03338673250285129
2018-06-09,-0.023645813280957606
2018-06-10,-0.01474725644257241
2018-06-11,-0.006818547325569607
2018-06-12,0.00014367919967600562
2018-06-13,0.006142378064968673
2018-06-14,0.01118009525843422
2018-06-15,0.015258968905096593
2018-06-16,0.018380730174348464
2018-06-17,0.020546704014699407
2018-06-18,0.022120850692311067
2018-06-19,0.023103838311857167
2018-06-20,0.023496084076278595
2018-06-21,0.02329775446385339
2018-06-22,0.022508765298854705
2018-06-23,0.02112878171582394
2018-06-24,0.019157218017446742
2018-06-25,0.016687604430201466
2018-06-26,0.013718892792310325
2018-06-27,0.010249823113107195
2018-06-28,0.00627892303826845
2018-06-29,0.0018045072249112115
2018-06-30,-0.003175323373705491
2018-07-01,-0.00866268231418068
2018-07-02,-0.013653247932515641
2018-07-03,-0.018149138341502856
2018-07-04,-0.022152261702204086
2018-07-05,-0.025664317033818503
2018-07-06,-0.02868679493478616
2018-07-07,-0.031220978215432904
2018-07-08,-0.03326794244242512
2018-07-09,-0.034797871701449795
2018-07-10,-0.035811415330274016
2018-07-11,-0.03630900350052366
2018-07-12,-0.03629084740025823
2018-07-13,-0.035756939323604006
2018-07-14,-0.0347070526674836
2018-07-15,-0.03314074183544022
2018-07-16,-0.030336801599945284
2018-07-17,-0.02629404190317039
2018-07-18,-0.021010746903328076
2018-07-19,-0.014484674246428603
2018-07-20,-0.006713054114572264
2018-07-21,0.0023074119496261924
2018-07-22,0.012580552442979495
2018-07-23,0.02375863612224248
2018-07-24,0.035846407227617075
2018-07-25,0.048848996091928915
2018-07-26,0.06277192131806109
2018-07-27,0.07762109212117788
2018-07-28,0.093402810836734
2018-07-29,0.11012377559533347
2018-07-30,0.1280748768535388
2018-07-31,0.14726373347865337
2018-08-01,0.16769848967031287
2018-08-02,0.18679105750803476
2018-08-03,0.20454954032424083
2018-08-04,0.22098147523446188
2018-08-05,0.23609383633626502
2018-08-06,0.24958809184526864
2018-08-07,0.26146996903918107
2018-08-08,0.27174451086463564
2018-08-09,0.28041607807753494
2018-08-10,0.28748835109385773
2018-08-11,0.2929643315517134
2018-08-12,0.2968463435853078
2018-08-13,0.2993632557223735
2018-08-14,0.3005161361992994
2018-08-15,0.30030547432552934
2018-08-16,0.29873118069123605
2018-08-17,0.29579258712937373
2018-08-18,0.2914884464320924
2018-08-19,0.2858169318213934
2018-08-20,0.27890944869206646
2018-08-21,0.27076306534668515
2018-08-22,0.2613743242695895
2018-08-23,0.2507392406594361
2018-08-24,0.2388533007379549
2018-08-25,0.22571145983419585
2018-08-26,0.21130814024345293
2018-08-27,0.19499016375638267
2018-08-28,0.17675060464203823
2018-08-29,0.15658172160485445
2018-08-30,0.1344749544990605
2018-08-31,0.11042092069555429
2018-09-01,0.08440941109969441
2018-09-02,0.05866956919343874
2018-09-03,0.033754635616173256
2018-09-04,0.009654035887253776
2018-09-05,-0.013642458851628958
2018-09-06,-0.036144736177815884
2018-09-07,-0.057862346584198865
2018-09-08,-0.07880450753267348
2018-09-09,-0.09898010736624518
2018-09-10,-0.11845602413301781
2018-09-11,-0.13724052386766672
2018-09-12,-0.15534157915130392
2018-09-13,-0.17276687249522904
2018-09-14,-0.1895237996015664
2018-09-15,-0.20561947250217377
2018-09-16,-0.2210607225771556
2018-09-17,-0.23600124625930197
2018-09-18,-0.25044738465636673
2018-09-19,-0.2644052690474232
2018-09-20,-0.2778808234851232
2018-09-21,-0.29087976731000303
2018-09-22,-0.30340761757790585
2018-09-23,-0.3154696914015485
2018-09-24,-0.32680740719354096
2018-09-25,-0.3374255769456881
2018-09-26,-0.34732870725762294
2018-09-27,-0.35652100124951325
2018-09-28,-0.36500636034596423
2018-09-29,-0.372788385931874
2018-09-30,-0.37987038088094577
2018-10-01,-0.38643831703291764
2018-10-02,-0.3926016217275274
2018-10-03,-0.3983629108154654
2018-10-04,-0.4037246295225938
2018-10-05,-0.40868905348775864
2018-10-06,-0.41325828972862333
2018-10-07,-0.4174342775359361
2018-10-08,-0.42140387285304115
2018-10-09,-0.4251687604690515
2018-10-10,-0.42873053829034313
2018-10-11,-0.432090718018744
2018-10-12,-0.4352507257931354
2018-10-13,-0.43821190279473854
2018-10-14,-0.4409755058163438
2018-10-15,-0.44299954249317786
2018-10-16,-0.44428487187375465
2018-10-17,-0.44483203948193095
2018-10-18,-0.4446412775484394
2018-10-19,-0.44371250510945304
2018-10-20,-0.442045327972222
2018-10-21,-0.4396390385477691
2018-10-22,-0.4369379008996477
2018-10-23,-0.4339407686018525
2018-10-24,-0.4306463696013244
2018-10-25,-0.4270533056780619
2018-10-26,-0.42316005185168354
2018-10-27,-0.4189649557341909
2018-10-28,-0.41446623682865574
2018-10-29,-0.4095224021831708
2018-10-30,-0.40413135351866136
2018-10-31,-0.3982908027479618
2018-11-01,-0.39199827100469725
2018-11-02,-0.3857105606484777
2018-11-03,-0.37942500302793986
2018-11-04,-0.3731389304053918
2018-11-05,-0.36679681816807763
2018-11-06,-0.3603959745752032
2018-11-07,-0.35393368295901295
2018-11-08,-0.347407200571773
2018-11-09,-0.3408137574216844
2018-11-10,-0.3341505550972342
2018-11-11,-0.3274147655794839
2018-11-12,-0.3205491253783705
2018-11-13,-0.31355072055558497
2018-11-14,-0.30641658082440726
2018-11-15,-0.29914367828904675
2018-11-16,-0.29172892615953283
