feature,edge_idx,z_std,ale_centred
RVW,23,-0.4412886158352709,-2.028829287163286e-05
RVW,24,-0.43457494923141443,-2.006627042143033e-05
RVW,25,-0.429396958754367,-1.9889538775223866e-05
RVW,26,-0.4263814247974607,-1.978706030862237e-05
RVW,27,-0.4223250704582926,-1.9649863942354625e-05
RVW,28,-0.41283531925525774,-1.9339964906144144e-05
RVW,29,-0.4063265919473057,-1.9117626193369927e-05
RVW,30,-0.3991843295382874,-1.8835574662794227e-05
RVW,31,-0.3932003179242925,-1.8627159859156802e-05
RVW,32,-0.3898045501464237,-1.8515416185287233e-05
RVW,33,-0.3824810464889271,-1.8277786138092108e-05
RVW,34,-0.3778868810379754,-1.8085444834319117e-05
RVW,35,-0.372155763733264,-1.7888705853656813e-05
RVW,36,-0.36451493777932853,-1.7645566087558348e-05
RVW,37,-0.3580312993966927,-1.7437182178319074e-05
RVW,38,-0.3524063845430659,-1.719989592012122e-05
RVW,39,-0.3436620513671187,-1.691000235674461e-05
RVW,40,-0.3362750833966339,-1.66552206037161e-05
RVW,41,-0.3302509560477935,-1.6448883171242653e-05
RVW,42,-0.3216157938949672,-1.6166017586065448e-05
RVW,43,-0.315417648933997,-1.596538208851622e-05
RVW,44,-0.30768879071906174,-1.570488552552912e-05
RVW,45,-0.30102635736324135,-1.545339691070718e-05
RVW,46,-0.2965119928957483,-1.53039723881741e-05
RVW,47,-0.28999925977294827,-1.509151782223422e-05
RVW,48,-0.2829650920863424,-1.4852235223165974e-05
RVW,49,-0.27611848532850686,-1.4502723429436867e-05
RVW,50,-0.2702410536350319,-1.4261371729922087e-05
RVW,51,-0.26179638435174807,-1.3974899998252351e-05
RVW,52,-0.25515352648809847,-1.3683734620222151e-05
RVW,53,-0.24726710135447305,-1.3384878299198374e-05
RVW,54,-0.2397039045864999,-1.3120919176194786e-05
RVW,55,-0.22642020794814624,-1.265855799041243e-05
RVW,56,-0.22132703611853513,-1.2508129996795344e-05
RVW,57,-0.20573988097264645,-1.192202659986857e-05
RVW,58,-0.1922023175916761,-1.1522187007322157e-05
RVW,59,-0.17783866682057703,-1.1054833150374418e-05
RVW,60,-0.16130501097736577,-1.0346022945177776e-05
RVW,61,-0.1460484215460903,-9.860530125897878e-06
RVW,62,-0.13061414281015765,-9.302242999147222e-06
RVW,63,-0.11713672304557231,-8.759946778773394e-06
RVW,64,-0.10544515980901385,-8.297730401600586e-06
RVW,65,-0.08890582480729706,-7.743585738999411e-06
RVW,66,-0.07772212919132301,-7.395383617640857e-06
RVW,67,-0.06866816620449025,-7.016277122111444e-06
RVW,68,-0.05287918495157362,-6.539752830085729e-06
RVW,69,-0.04017890303918331,-6.038427697567624e-06
RVW,70,-0.02787623582307661,-5.530720470196923e-06
RVW,71,-0.011303938542519376,-4.704531617753912e-06
RVW,72,0.006377890066390618,-3.95576009119419e-06
RVW,73,0.035176129124278026,-2.3711205285146775e-06
RVW,74,0.05565383523746598,-1.543632235516509e-06
RVW,75,0.07426090048720373,-7.054225347567467e-07
RVW,76,0.0961021456488984,4.6198438703629556e-08
RVW,77,0.12012549731400292,9.153843352939816e-07
RVW,78,0.13817431007350442,1.689094206576317e-06
RVW,79,0.1679707608605121,3.4715176030110683e-06
RVW,80,0.18831110656051758,4.465315187680733e-06
RVW,81,0.22351310861792575,5.896319494731631e-06
RVW,82,0.25458244064182034,6.820743552034162e-06
RVW,83,0.28153933863388103,8.018355488766008e-06
RVW,84,0.3133144455150361,9.23355318767766e-06
RVW,85,0.3392678167258351,1.0067815397214633e-05
RVW,86,0.38598145887135726,1.1757623583925795e-05
RVW,87,0.42894803435235457,1.3184315180787723e-05
RVW,88,0.5063792372455322,1.6379586982602393e-05
RVW,89,0.5445180148695381,1.8069079802025715e-05
RVW,90,0.619073549228147,2.147254585501263e-05
RVW,91,0.6798469981424158,2.4665041424250137e-05
RVW,92,0.7354492100201924,2.8221688667635806e-05
RVW,93,0.8244481544275851,3.18824357650917e-05
RVW,94,0.9159062612619178,3.597584177035945e-05
RVW,95,0.9982414661745229,4.025660959590799e-05
RVW,96,1.1604876575740941,4.7871351258017725e-05
RVW,97,1.5349918104270701,6.51060102841618e-05
RVW,98,2.3877288767945326,0.00010167793092981786
RVW,99,5.940710587685626,0.00024569446699892046
RVW,100,10.829386055672751,0.00042407283339847686
RVM,0,-0.7155492664945209,-7.37532658315314e-06
RVM,1,-0.6820238773540263,-6.998604327984425e-06
RVM,2,-0.6760496811870397,-6.931038421337065e-06
RVM,3,-0.663149471764153,-6.7922470997903595e-06
RVM,4,-0.6499563247397271,-6.642478788260008e-06
RVM,5,-0.6403964126980085,-6.544975620054004e-06
RVM,6,-0.6326666617623934,-6.458751429599773e-06
RVM,7,-0.6144499636946837,-6.26016095930919e-06
RVM,8,-0.6012599955299959,-6.118077423261469e-06
RVM,9,-0.591734804544389,-6.0163299488156674e-06
RVM,10,-0.5832606731561997,-5.9262822426351825e-06
RVM,11,-0.5739058909024082,-5.825389934793578e-06
RVM,12,-0.5686287721142494,-5.7764745812481244e-06
RVM,13,-0.5609803958802302,-5.691890600539694e-06
RVM,14,-0.5477410183669148,-5.547555155610383e-06
RVM,15,-0.5415400478429849,-5.479994975937473e-06
RVM,16,-0.535872512046414,-5.4154367682688765e-06
RVM,17,-0.5308706638875397,-5.362385487567111e-06
RVM,18,-0.525054869624257,-5.29658851969299e-06
RVM,19,-0.5189322887722414,-5.229477815143867e-06
RVM,20,-0.5128938665436104,-5.168841924168931e-06
RVM,21,-0.5100309617933592,-5.133414831798121e-06
RVM,22,-0.5024641954480755,-5.054077306804005e-06
RVM,23,-0.4951177372099432,-4.974466052326364e-06
RVM,24,-0.48938951956624005,-4.9128328719892245e-06
RVM,25,-0.4843285309723393,-4.825594140195165e-06
RVM,26,-0.4781725582737307,-4.760540776610299e-06
RVM,27,-0.4734872645027119,-4.7091634209071465e-06
RVM,28,-0.4646824659409706,-4.607486766255818e-06
RVM,29,-0.45732356882869174,-4.531450735450847e-06
RVM,30,-0.4515667289185411,-4.471297480629176e-06
