feature,edge_idx,z_std,ale_centred
RVW,79,0.1679707608605121,1.573377767477946e-05
RVW,80,0.18831110656051758,1.2063773027668898e-05
RVW,81,0.22351310861792575,1.1141520738233947e-05
RVW,82,0.25458244064182034,1.018844489357013e-05
RVW,83,0.28153933863388103,7.488330742658494e-06
RVW,84,0.3133144455150361,7.1702844244839455e-06
RVW,85,0.3392678167258351,6.888482270596301e-06
RVW,86,0.38598145887135726,7.854939105137e-06
RVW,87,0.42894803435235457,1.700678397106756e-05
RVW,88,0.5063792372455322,1.7978299094429335e-05
RVW,89,0.5445180148695381,1.9043064004062176e-05
RVW,90,0.619073549228147,2.0211729371363037e-05
RVW,91,0.6798469981424158,2.1287324048136382e-05
RVW,92,0.7354492100201924,2.378521349642709e-05
RVW,93,0.8244481544275851,2.7115898775176293e-05
RVW,94,0.9159062612619178,3.560005725256898e-05
RVW,95,0.9982414661745229,4.006706972332949e-05
RVW,96,1.1604876575740941,5.5763484725739346e-05
RVW,97,1.5349918104270701,8.145164804263986e-05
RVW,98,2.3877288767945326,0.000441593549468997
RVW,99,5.940710587685626,0.000561807723364876
RVW,100,10.829386055672751,0.0006004817444635644
RVM,0,-0.7155492664945209,-1.7378498098684418e-05
RVM,1,-0.6820238773540263,-1.7610418980204422e-05
RVM,2,-0.6760496811870397,-1.7366514196427763e-05
RVM,3,-0.663149471764153,-1.6317896556445417e-05
RVM,4,-0.6499563247397271,-1.61239389767694e-05
RVM,5,-0.6403964126980085,-1.5565730734412745e-05
RVM,6,-0.6326666617623934,-1.4021234240291055e-05
RVM,7,-0.6144499636946837,-1.4087608267543877e-05
RVM,8,-0.6012599955299959,-1.2398648581217747e-05
RVM,9,-0.591734804544389,-8.230562441171102e-06
RVM,10,-0.5832606731561997,-1.0542982520847005e-05
RVM,11,-0.5739058909024082,-1.0484914641647646e-05
RVM,12,-0.5686287721142494,-1.0756099264021375e-05
RVM,13,-0.5609803958802302,-1.0331658163688883e-05
RVM,14,-0.5477410183669148,-1.0759021495241113e-05
RVM,15,-0.5415400478429849,-1.1489261899162001e-05
RVM,16,-0.535872512046414,-1.1408530345490915e-05
RVM,17,-0.5308706638875397,-1.1576580467417497e-05
RVM,18,-0.525054869624257,-1.2008608561145349e-05
RVM,19,-0.5189322887722414,-1.1914399385826135e-05
RVM,20,-0.5128938665436104,-1.229439367087134e-05
RVM,21,-0.5100309617933592,-1.254566395097622e-05
RVM,22,-0.5024641954480755,-1.2323928600900232e-05
RVM,23,-0.4951177372099432,-1.2250367816747622e-05
RVM,24,-0.48938951956624005,-1.3116505192312857e-05
RVM,25,-0.4843285309723393,-1.2897345757665483e-05
RVM,26,-0.4781725582737307,-1.2903358912830052e-05
RVM,27,-0.4734872645027119,-1.2840061787160158e-05
RVM,28,-0.4646824659409706,-1.2806065107302747e-05
RVM,29,-0.45732356882869174,-1.2257904636260509e-05
RVM,30,-0.4515667289185411,-1.2459668163758487e-05
RVM,31,-0.44746205802338174,-1.1461688904783945e-05
RVM,32,-0.4414378005250815,-1.0979150919476873e-05
RVM,33,-0.43625370214527487,-1.020212199938157e-05
RVM,34,-0.42951207186859863,-9.716825123843762e-06
RVM,35,-0.4217374476501382,-6.810962487692739e-06
RVM,36,-0.4102325187843546,-8.732066473049626e-06
RVM,37,-0.40155253013230574,-9.281654781952498e-06
RVM,38,-0.3914277422639941,-9.527775024082148e-06
RVM,39,-0.381386697009409,-9.054165543080615e-06
RVM,40,-0.37337621195329146,-9.629835277692179e-06
RVM,41,-0.3625608746611765,-9.682692654122868e-06
RVM,42,-0.3526492398444656,-9.635173374192808e-06
RVM,43,-0.3410705465009797,-1.0790355254813104e-05
RVM,44,-0.3326400735987278,-1.1153224108312586e-05
RVM,45,-0.32209227366061105,-1.1187966370081389e-05
RVM,46,-0.31341150763397113,-1.2208137717011025e-05
RVM,47,-0.30745341913147795,-1.2051725252795545e-05
RVM,48,-0.2986682133339007,-1.2656486742506454e-05
RVM,49,-0.28832272018625676,-1.2531602805010642e-05
RVM,50,-0.2779035598841443,-1.2512111440823405e-05
RVM,51,-0.26900270579717406,-1.2357155637823308e-05
RVM,52,-0.26174146674136667,-1.290554713866677e-05
RVM,53,-0.2533810617802299,-1.2825384677012591e-05
RVM,54,-0.24475751646760233,-1.3155930984390379e-05
RVM,55,-0.23770262200994044,-1.293175938145022e-05
RVM,56,-0.2157083766748699,-1.1953442381840247e-05
RVM,57,-0.20683932583766937,-1.051247993702344e-05
RVM,58,-0.19731759105836838,-1.1885115710680365e-05
RVM,59,-0.19126324024122587,-1.1296456982373993e-05
RVM,60,-0.1756005424493864,-1.1046148345948375e-05
RVM,61,-0.16562401096892532,-8.007023536521732e-06
RVM,62,-0.1478483166692242,-3.783752229271676e-06
RVM,63,-0.1338708065134866,-3.4997539725705464e-06
RVM,64,-0.08326384387120085,5.492026997471351e-07
RVM,65,-0.049428582081899736,4.204475032663937e-06
RVM,66,-0.01839162643064427,2.917144065791651e-06
RVM,67,0.008067574023554475,2.892570616821879e-06
RVM,68,0.03334651119790362,1.7513089339575993e-06
RVM,69,0.049755960906441854,1.1945815856266858e-06
RVM,70,0.06536069169001395,1.3550640765841703e-06
RVM,71,0.07927045237077135,2.1532018396558944e-06
RVM,72,0.10377801174919736,2.6477221716255094e-06
RVM,73,0.11698609889040075,4.6969653281852195e-06
RVM,74,0.14477668927207626,7.1770741173301416e-06
RVM,75,0.17112905035853523,7.323642357422175e-06
RVM,76,0.19029408982670182,8.810496662192898e-06
RVM,77,0.2082557771257474,1.0677289784224482e-05
RVM,78,0.23653363970974414,1.2411750829855687e-05
RVM,79,0.26707263835089656,1.167216502187035e-05
RVM,80,0.30110729957458404,1.549377908403052e-05
